English_Name,Roman_Urdu_Hindi_Common,Next_Steps
Strawberry___healthy,Strawberry tandurust,1) Paani aur khaad ka nizam rakhein. 2) Rozana dekh bhaal karein. 3) Safai rakhein.
Tomato___Bacterial_spot,Tamatar par bacterial daag,1) Bimar pattay nikal dein. 2) Crop ka kachra saaf karein. 3) Resistant variety lagayein.
Tomato___Early_blight,Tamatar ka jaldi jhulsna,1) Bimar pattay door karein. 2) Crop residue hata dein. 3) Crop rotation karein.
Tomato___Late_blight,Tamatar ka dair se jhulsna,1) Bimar pauday nikal dein. 2) Paani ka nizam theek karein. 3) Safai rakhein.
Tomato___Leaf_Mold,Tamatar ka patta phaphondi,1) Bimar pattay door karein. 2) Hawadari behtar karein. 3) Zyada nami se bachayein.
Tomato___Septoria_leaf_spot,Tamatar par Septoria daag,1) Bimar pattay door karein. 2) Crop rotation karein. 3) Crop ka kachra hata dein.
Tomato___Spider_mites Two-spotted_spider_mite,Tamatar par spider mite (keera),1) Pattay par paani chhidkein. 2) Pauday ko saaf rakhein. 3) Zarurat par neem spray karein.
Tomato___Target_Spot,Tamatar par nishani daag,1) Bimar pattay door karein. 2) Crop rotation karein. 3) Safai aur hawadari rakhein.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tamatar ka peela patta curl karne wala virus,1) Safed makhi se bachao karein. 2) Bimar pauday jaldi nikal dein. 3) Agli dafa mazboot beej lagayein.
Tomato___Tomato_mosaic_virus,Tamatar ka mosaic virus,1) Bimar pauday nikal dein. 2) Hathon ko wash karne ke baad paudon ko chhuyein. 3) Mazboot variety lagayein.
Tomato___healthy,Tamatar tandurust,1) Rozana dekh bhaal karein. 2) Paani aur khaad ka nizam rakhein. 3) Safai jari rakhein.
